Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010732.072043327,-14.2146,-11.8087,0,0,0,0
1536010732.076039967,-14.2146,-11.8087,0,0,0,0
1536010732.080043006,-14.2146,-11.8087,0,0,0,0
1536010732.084043349,-14.2146,-11.8087,0,0,0,0
1536010732.088042800,-14.2146,-11.8087,0,0,0,0
1536010732.092043356,-14.2146,-11.8087,0,0,0,0
1536010732.096043011,-14.2146,-11.8087,0,0,0,0
1536010732.100043205,-14.2146,-11.8087,0,0,0,0
1536010732.104043295,-14.2146,-11.8087,0,0,0,0
1536010732.108043073,-14.2146,-11.8087,0,0,0,0
1536010732.112042994,-14.2146,-11.8087,0,0,0,0
1536010732.116039541,-14.2146,-11.8087,0,0,0,0
1536010732.120044348,-14.2146,-11.8087,0,0,0,0
1536010732.124042696,-14.2146,-11.8087,0,0,0,0
1536010732.128041803,-14.2146,-11.8087,0,0,0,0
1536010732.132042278,-14.2146,-11.8087,0,0,0,0
1536010732.136041683,-14.2146,-11.8087,0,0,0,0
1536010732.140043634,-14.2146,-11.8087,0,0,0,0
1536010732.144043064,-14.2146,-11.8087,0,0,0,0
1536010732.148043066,-14.2146,-11.8087,0,0,0,0
1536010732.152042894,-14.2146,-11.8087,0,0,0,0
1536010732.156042769,-14.2146,-11.8087,0,0,0,0
1536010732.160043015,-14.2146,-11.8087,0,0,0,0
1536010732.164043207,-14.2146,-11.8087,0,0,0,0
1536010732.168043094,-14.2146,-11.8087,0,0,0,0
1536010732.172045486,-14.2146,-11.8087,0,0,0,0
1536010732.176046088,-14.2146,-11.8087,0,0,0,0
1536010732.180043509,-14.2146,-11.8087,0,0,0,0
1536010732.184043737,-14.2146,-11.8087,0,0,0,0
1536010732.188042238,-14.2146,-11.8087,0,0,0,0
1536010732.192039592,-14.2146,-11.8087,0,0,0,0
1536010732.196043115,-14.2146,-11.8087,0,0,0,0
1536010732.200042870,-14.2146,-11.8087,0,0,0,0
1536010732.204043066,-14.2146,-11.8087,0,0,0,0
1536010732.208043117,-14.2146,-11.8087,0,0,0,0
1536010732.212043144,-14.2146,-11.8087,0,0,0,0
1536010732.216043062,-14.2146,-11.8087,0,0,0,0
1536010732.220043058,-14.2146,-11.8087,0,0,0,0
1536010732.224044672,-14.2146,-11.8087,0,0,0,0
1536010732.228043266,-14.2146,-11.8087,0,0,0,0
1536010732.232042422,-14.2146,-11.8087,0,0,0,0
1536010732.236043435,-14.2146,-11.8087,0,0,0,0
1536010732.240042498,-14.2146,-11.8087,0,0,0,0
1536010732.244041375,-14.2146,-11.8087,0,0,0,0
1536010732.248043562,-14.2146,-11.8087,0,0,0,0
1536010732.252043964,-14.2146,-11.8087,0,0,0,0
1536010732.256043603,-14.2146,-11.8087,0,0,0,0
1536010732.260044144,-14.2146,-11.8087,0,0,0,0
1536010732.264043868,-14.2146,-11.8087,0,0,0,0
1536010732.268043814,-14.2146,-11.8087,0,0,0,0
1536010732.272043918,-14.2146,-11.8087,0,0,0,0
1536010732.276062336,-14.2146,-11.8087,0,0,0,0
1536010732.280062636,-14.2146,-11.8087,0,0,0,0
1536010732.284043374,-14.2146,-11.8087,0,0,0,0
1536010732.288043260,-14.2146,-11.8087,0,0,0,0
1536010732.292043303,-14.2146,-11.8087,0,0,0,0
1536010732.296043317,-14.2146,-11.8087,0,0,0,0
1536010732.300043911,-14.2146,-11.8087,0,0,0,0
1536010732.304042995,-14.2146,-11.8087,0,0,0,0
1536010732.308043016,-14.2146,-11.8087,0,0,0,0
1536010732.312043181,-14.2146,-11.8087,0,0,0,0
1536010732.316043478,-14.2146,-11.8087,0,0,0,0
1536010732.320042802,-14.2146,-11.8087,0,0,0,0
1536010732.324043188,-14.2146,-11.8087,0,0,0,0
1536010732.328043074,-14.2146,-11.8087,0,0,0,0
1536010732.332044004,-14.2146,-11.8087,0,0,0,0
1536010732.336043655,-14.2146,-11.8087,0,0,0,0
1536010732.340034693,-14.2146,-11.8087,0,0,0,0
1536010732.344041012,-14.2146,-11.8087,0,0,0,0
1536010732.348043098,-14.2146,-11.8087,0,0,0,0
1536010732.352043019,-14.2146,-11.8087,0,0,0,0
1536010732.356043229,-14.2146,-11.8087,0,0,0,0
1536010732.360043750,-14.2146,-11.8087,0,0,0,0
1536010732.364044098,-14.2146,-11.8087,0,0,0,0
1536010732.368043897,-14.2146,-11.8087,0,0,0,0
1536010732.372043727,-14.2146,-11.8087,0,0,0,0
1536010732.376058713,-14.2146,-11.8087,0,0,0,0
1536010732.380040143,-14.2146,-11.8087,0,0,0,0
1536010732.384043836,-14.2146,-11.8087,0,0,0,0
1536010732.388043523,-14.2146,-11.8087,0,0,0,0
1536010732.392042983,-14.2146,-11.8087,0,0,0,0
1536010732.396042001,-14.2146,-11.8087,0,0,0,0
1536010732.400040954,-14.2146,-11.8087,0,0,0,0
1536010732.404043504,-14.2146,-11.8087,0,0,0,0
1536010732.408041014,-14.2146,-11.8087,0,0,0,0
1536010732.412041794,-14.2146,-11.8087,0,0,0,0
1536010732.416039566,-14.2146,-11.8087,0,0,0,0
1536010732.420042817,-14.2146,-11.8087,0,0,0,0
1536010732.424041809,-14.2146,-11.8087,0,0,0,0
1536010732.428055468,-14.2146,-11.8087,0,0,0,0
1536010732.432040484,-14.2146,-11.8087,0,0,0,0
