Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010508.962073959,-0.958626,0,-0.073,-0.043,0.000976418,0.000846207
1536010508.966074318,-0.958626,0,-0.098,-0.064,0.000976418,0.000846207
1536010508.970073844,-0.958626,0,-0.101,-0.092,0.000976418,0.000846207
1536010508.974072977,-0.958626,0,-0.084,-0.114,0.000976418,0.000846207
1536010508.978073549,-0.958626,0,-0.055,-0.125,0.000976418,0.000846207
1536010508.982073524,-0.958626,0,-0.021,-0.126,0.000976418,0.000846207
1536010508.986074791,-0.958626,0,0.008,-0.12,0.000976418,0.000846207
1536010508.990073682,-0.958626,0,0.022,-0.109,0.000976418,0.000716023
1536010508.994063724,-0.958626,0,0.015,-0.097,0.000976418,0.000716023
1536010508.998073263,-0.958626,0,-0.01,-0.088,0.000976418,0.000716023
1536010509.002074263,-0.958626,0,-0.046,-0.083,0.000976418,0.000716023
1536010509.006074091,-0.958626,0,-0.076,-0.081,0.000976418,0.000716023
1536010509.010073614,-0.958626,0,-0.088,-0.078,0.000976418,0.000716023
1536010509.014074326,-0.958626,0,-0.075,-0.067,0.000976418,0.000716023
1536010509.018073561,-0.958626,0,-0.039,-0.05,0.000976418,0.000716023
1536010509.022073598,-0.958626,0,0.011,-0.031,0.000976418,0.000716023
1536010509.026073886,-0.958626,0,0.062,-0.022,0.000976418,0.000716023
1536010509.030074400,-0.958626,0,0.094,-0.027,0.000976418,0.000716023
1536010509.034075015,-0.958626,0,0.092,-0.047,0.000976418,0.000716023
1536010509.038075630,-0.958626,0,0.06,-0.072,0.000976418,0.000716023
1536010509.042075034,-0.958626,0,0.017,-0.092,0.000976418,0.000716023
1536010509.046075532,-0.958626,0,-0.011,-0.1,0.000976418,0.000716023
1536010509.050074718,-0.958626,0,-0.012,-0.093,0.000976418,0.000716023
1536010509.054075706,-0.958626,0,0.01,-0.076,0.000976418,0.000716023
1536010509.058075055,-0.958626,0,0.039,-0.058,0.000976418,0.000716023
1536010509.062075670,-0.958626,0,0.054,-0.049,0.000976418,0.000716023
1536010509.066075794,-0.958626,0,0.045,-0.057,0.000976418,0.000716023
1536010509.070074725,-0.958626,0,0.014,-0.079,0.000976418,0.000716023
1536010509.074075726,-0.958626,0,-0.027,-0.106,0.000976418,0.000716023
1536010509.078075815,-0.958626,0,-0.063,-0.121,0.000976418,0.000716023
1536010509.082075687,-0.958626,0,-0.076,-0.11,0.000976418,0.000716023
1536010509.086076030,-0.958626,0,-0.062,-0.077,0.000976418,0.000716023
1536010509.090075907,-0.958626,0,-0.029,-0.037,0.000976418,0.000716023
1536010509.094075578,-0.958626,0,0.003,-0.011,0.000976418,0.000716023
1536010509.098055926,-0.958626,0,0.02,-0.009,0.000976418,0.000716023
1536010509.102078204,-0.958626,0,0.016,-0.024,0.000976418,0.000716023
1536010509.106078401,-0.958626,0,-0.004,-0.043,0.000976418,0.000716023
1536010509.110078382,-0.958626,0,-0.032,-0.053,0.000976418,0.000716023
1536010509.114077974,-0.958626,0,-0.062,-0.052,0.000976418,0.000716023
1536010509.118078096,-0.958626,0,-0.084,-0.045,0.000976418,0.000716023
1536010509.122077977,-0.958626,0,-0.087,-0.039,0.000976418,0.000716023
1536010509.126078788,-0.958626,0,-0.062,-0.035,0.000976418,0.000716023
1536010509.130074967,-0.958626,0,-0.015,-0.029,0.000976418,0.000716023
1536010509.134073822,-0.958626,0,0.03,-0.02,0.000976418,0.000716023
1536010509.138074268,-0.958626,0,0.052,-0.015,0.000976418,0.000716023
1536010509.142074850,-0.958626,0,0.039,-0.027,0.000976418,0.000716023
1536010509.146074498,-0.958626,0,0,-0.063,0.000976418,0.000716023
1536010509.150073613,-0.958626,0,-0.036,-0.115,0.000976418,0.000716023
1536010509.154073448,-0.958626,0,-0.05,-0.158,0.000976418,0.000716023
1536010509.158075236,-0.958626,0,-0.033,-0.171,0.000976418,0.000716023
1536010509.162073809,-0.958626,0,-0.001,-0.15,0.000976418,0.000716023
1536010509.166073645,-0.958626,0,0.025,-0.114,0.000976418,0.000716023
1536010509.170073311,-0.958626,0,0.033,-0.089,0.000976418,0.000716023
1536010509.174081557,-0.958626,0,0.024,-0.088,0.000976418,0.000716023
1536010509.178074115,-0.958626,0,0.008,-0.1,0.000976418,0.000716023
1536010509.182073657,-0.958626,0,-0.003,-0.107,0.000976418,0.000716023
1536010509.186073580,-0.958626,0,-0.011,-0.098,0.000976418,0.000716023
1536010509.190082878,-0.958626,0,-0.017,-0.08,0.000976418,0.000716023
1536010509.194074218,-0.958626,0,-0.023,-0.065,0.000976418,0.000716023
1536010509.198073737,-0.958626,0,-0.026,-0.059,0.000976418,0.000716023
1536010509.202124751,-0.958626,0,-0.026,-0.054,0.000976418,0.000716023
1536010509.206073849,-0.958626,0,-0.03,-0.044,0.000976418,0.000716023
1536010509.210074646,-0.958626,0,-0.042,-0.031,0.000976418,0.000716023
1536010509.214073832,-0.958626,0,-0.058,-0.026,0.000976418,0.000716023
1536010509.218073792,-0.958626,0,-0.067,-0.042,0.000976418,0.000716023
1536010509.222075287,-0.958626,0,-0.061,-0.078,0.000976418,0.000716023
1536010509.226074859,-0.958626,0,-0.044,-0.117,0.000976418,0.000716023
1536010509.230075430,-0.958626,0,-0.029,-0.139,0.000976418,0.000716023
1536010509.234075927,-0.958626,0,-0.027,-0.134,0.000976418,0.000716023
1536010509.238075182,-0.958626,0,-0.034,-0.117,0.000976418,0.000716023
1536010509.242076940,-0.958626,0,-0.036,-0.107,0.000976418,0.000716023
1536010509.246074746,-0.958626,0,-0.023,-0.116,0.000976418,0.000716023
1536010509.250074716,-0.958626,0,0.001,-0.136,0.000976418,0.000716023
1536010509.254075189,-0.958626,0,0.02,-0.153,0.000976418,0.000716023
1536010509.258074641,-0.958626,0,0.014,-0.161,0.000976418,0.000716023
1536010509.262074894,-0.958626,0,-0.019,-0.166,0.000976418,0.000716023
1536010509.266075070,-0.958626,0,-0.064,-0.174,0.000976418,0.000716023
1536010509.270074053,-0.958626,0,-0.1,-0.182,0.000976418,0.000716023
1536010509.274073866,-0.958626,0,-0.114,-0.176,0.000976418,0.000716023
1536010509.278074559,-0.958626,0,-0.105,-0.151,0.000976418,0.000716023
1536010509.282074026,-0.958626,0,-0.087,-0.113,0.000976418,0.000716023
1536010509.286083314,-0.958626,0,-0.068,-0.079,0.000976418,0.000716023
1536010509.290075281,-0.958626,0,-0.052,-0.064,0.000976418,0.000716023
1536010509.294074572,-0.958626,0,-0.043,-0.066,0.000976418,0.000716023
1536010509.298073992,-0.958626,0,-0.042,-0.075,0.000976418,0.000716023
1536010509.302074539,-0.958626,0,-0.052,-0.076,0.000976418,0.000716023
1536010509.306073978,-0.958626,0,-0.069,-0.064,0.000976418,0.000716023
1536010509.310073689,-0.958626,0,-0.083,-0.047,0.000976418,0.000716023
1536010509.314074515,-0.958626,0,-0.08,-0.034,0.000976418,0.000716023
1536010509.318083068,-0.958626,0,-0.055,-0.026,0.000976418,0.000716023
1536010509.322074981,-0.958626,0,-0.014,-0.019,0.000976418,0.000716023
1536010509.326074716,-0.958626,0,0.024,-0.011,0.000976418,0.000716023
1536010509.330074690,-0.958626,1.01155,0.04,-0.009,0.000976418,0.000716023
1536010509.334074741,-0.958626,1.01155,0.025,-0.022,0.000976418,0.000716023
1536010509.338074589,-0.958626,0,-0.013,-0.052,0.000976418,0.000716023
